show_id,type,Tipo,name,Director,Elenco,country,Pais,year,clasificacion,duracion,listed_in,genero,description,Sinopsis,Plataforma
s154,Movie,Película,Shark vs. Surfer,Phil Stebbing,Billy Lloyd,,,2020,TV-14,44 min,"Animals & Nature, Documentary","Animales y Naturaleza, Documental",Shark vs. Surfer visits shark-infested surf spots to relive the harrowing encounters.,Shark vs. Surfer visita lugares de surf infestados de tiburones para revivir los desgarradores encuentros.,Disney plus
s155,Movie,Película,Shark vs. Whale,,Ted Stewart,,,2020,TV-PG,44 min,"Animals & Nature, Documentary","Animales y Naturaleza, Documental",Marine biologist Ryan Johnson discovers rare behavior of a whale attacking a great white.,El biólogo marino Ryan Johnson descubre el raro comportamiento de una ballena atacando a un gran tiburón blanco.,Disney plus
s156,Movie,Película,Stuntman,Kurt Mattila,Eddie Braun,,,2021,TV-14,87 min,Documentary,Documental,Stuntman Eddie Braun attempts to complete Evel Knievel's legendary Snake River Canyon rocket jump.,El especialista Eddie Braun intenta completar el legendario salto con cohete del cañón del río Snake de Evel Knievel.,Disney plus
s157,Movie,Película,Walking with Dinosaurs: The Movie,"Barry Cook, Neil Nightingale","John Leguizamo, Justin Long, Tiya Sircar, Skyler Stone, Angourie Rice, Charlie Rowe",,,2013,PG,88 min,"Action-Adventure, Family, Fantasy","Acción-Aventura, Familia, Fantasía",A young dinosaur named Patchi must find his courage to lead the herd.,Un joven dinosaurio llamado Patchi debe encontrar el coraje para liderar la manada.,Disney plus
s158,Movie,Película,What the Shark?,,Robert Davi,,,2020,TV-PG,44 min,"Animals & Nature, Documentary","Animales y Naturaleza, Documental",What the Shark? dives deep into the environments where adaptation is critical to survival.,¿Qué diablos? se sumerge profundamente en los entornos donde la adaptación es fundamental para la supervivencia.,Disney plus
s159,TV Show,Programa de televisión,Behind the Attraction,,Paget Brewster,,,2021,TV-PG,1 Season,"Docuseries, Family","Docuseries, Familia",Behind the Attraction takes you on a wild ride behind Disney Parks' most iconic attractions!,¡Detrás de la atracción te lleva en un viaje salvaje detrás de las atracciones más emblemáticas de los parques de Disney!,Disney plus
s160,TV Show,Programa de televisión,Disney The Owl House,,"Sarah-Nicole Robles, Wendie Malick, Alex Hirsch, Tati Gabrielle, Issac Brown, Mae Whitman","United States, United Kingdom","Estados Unidos, Reino Unido",2020,TV-Y7,2 Seasons,"Action-Adventure, Animation, Anime","Acción-aventura, Animación, Anime",Luz stumbles upon a portal to a magical new world.,Luz se topa con un portal a un nuevo mundo mágico.,Disney plus
s161,TV Show,Programa de televisión,Meet Spidey and His Amazing Friends (Shorts),,"Ben Valic, Melanie Minichino",,,2021,TV-Y,1 Season,"Action-Adventure, Animation, Kids","Acción-aventura, Animación, Infantil",Meet the friends that help Spidey save the day!,¡Conoce a los amigos que ayudan a Spidey a salvar el día!,Disney plus
s162,TV Show,Programa de televisión,Mission Force One,,"Justin Felbinger, Fiona Bishop, Ivy Bishop, Issac Ryan Brown, Sam Lavagnino, Dee Bradley Baker",,,2017,TV-Y,1 Season,"Action-Adventure, Animation, Kids","Acción-aventura, Animación, Infantil",Five kids form an elite team to protect the universe!,¡Cinco niños forman un equipo de élite para proteger el universo!,Disney plus
s163,TV Show,Programa de televisión,Turner & Hooch,,"Josh Peck, Carra Patterson, Lyndsy Fonseca, Vanessa Lengies, Brandon Jay Mclaren, Anthony Ruivivar",,,2021,TV-PG,1 Season,"Action-Adventure, Buddy, Comedy","Acción y aventura, Amigos, Comedia",A Deputy Marshal inherits an unruly dog who helps him solve crimes and investigate a family mystery.,Un mariscal adjunto hereda un perro rebelde que lo ayuda a resolver crímenes e investigar un misterio familiar.,Disney plus
s164,Movie,Película,Most Wanted Sharks,,,,,2020,TV-PG,44 min,"Animals & Nature, Documentary","Animales y Naturaleza, Documental","In Most Wanted Sharks, Jeremiah Sullivan dives into the stories of shark all-stars.","En Most Wanted Sharks, Jeremiah Sullivan se sumerge en las historias de las estrellas de los tiburones.",Disney plus
s165,Movie,Película,Secrets of the Bull Shark,,Keston John,,,2020,TV-14,44 min,"Animals & Nature, Documentary","Animales y Naturaleza, Documental",Secrets of the Bull Shark unravels the mystery of some of the most dangerous predators.,Secretos del tiburón toro desvela el misterio de algunos de los depredadores más peligrosos.,Disney plus
s166,TV Show,Programa de televisión,Shark Attack Files,,,,,2021,TV-14,1 Season,"Animals & Nature, Docuseries, Reality","Animales y Naturaleza, Docuseries, Realidad",Learn the truth behind the most dramatic shark attacks of our time.,Conozca la verdad detrás de los ataques de tiburones más dramáticos de nuestro tiempo.,Disney plus
s167,Movie,Película,Shark Attack Investigation: The Paige Winter Story,,,,,2021,TV-14,44 min,"Animals & Nature, Documentary","Animales y Naturaleza, Documental",A teen survives facing one of the ocean’s deadliest predators.,Un adolescente sobrevive enfrentándose a uno de los depredadores más mortíferos del océano.,Disney plus
s168,Movie,Película,Sharkcano,Andy Seestedt,Dan Nachtrab,,,2020,TV-PG,44 min,"Animals & Nature, Documentary","Animales y Naturaleza, Documental",Dr. Michael Heithaus sets out to reveal the connection between sharks and volcanoes.,El Dr. Michael Heithaus se propone revelar la conexión entre tiburones y volcanes.,Disney plus
s169,Movie,Película,We Bought a Zoo,Cameron Crowe,"Matt Damon, Scarlett Johansson, Thomas Haden Church, Patrick Fugit, Colin Ford, Elle Fanning",United States,Estados Unidos,2011,PG,125 min,"Animals & Nature, Drama, Family","Animales y naturaleza, Drama, Familia",A single dad tries to give his family a fresh start by moving to a home in the middle of a zoo.,Un padre soltero intenta darle a su familia un nuevo comienzo mudándose a una casa en medio de un zoológico.,Disney plus
s170,Movie,Película,World's Biggest Bullshark,,Jason Hildebrandt,,,2021,TV-PG,44 min,"Animals & Nature, Documentary","Animales y Naturaleza, Documental","How one of the largest Bull Sharks ever caught, grew to become a giant.",Cómo uno de los tiburones toro más grandes jamás capturados creció hasta convertirse en un gigante.,Disney plus
s171,Movie,Película,World's Most Dangerous Shark?,Kevin Bachar,Brain Cade,,,2021,TV-14,44 min,"Animals & Nature, Documentary","Animales y Naturaleza, Documental",Are Oceanic White Tips the most dangerous of all the sharks?,¿Son los Oceanic White Tips los más peligrosos de todos los tiburones?,Disney plus
s172,TV Show,Programa de televisión,So Random!,,"Tiffany Thornton, Sterling Knight, Brandon Mychal Smith, Doug Brochu, Allisyn Ashley Arm",United States,Estados Unidos,2011,TV-G,1 Season,"Comedy, Coming of Age","Comedia, Mayoría de edad",A musical sketch comedy show.,Un espectáculo de comedia musical.,Disney plus
s173,Movie,Película,Flicka,Michael Mayer,"Alison Lohman, Tim McGraw, Maria Bello, Ryan Kwanten, Danny Pino, Dallas Roberts","United States, United Kingdom","Estados Unidos, Reino Unido",2006,PG,95 min,"Animals & Nature, Coming of Age, Drama","Animales y naturaleza, Mayoría de edad, Drama",A 14-year-old girl befriends a wild filly and tries to rescue the horse from a rodeo entrepreneur.,Una niña de 14 años se hace amiga de una potra salvaje e intenta rescatarla de un empresario de rodeo.,Disney plus
s174,Movie,Película,"Miraculous World: Shanghai, The Legend of Ladydragon",Thomas Astruc,"Cristina 'Vee"" Valenzuela, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Todd Haberkorn, Max Mittelman",,,2021,TV-Y7-FV,54 min,"Animation, Fantasy","Animación, Fantasía",Marinette heads to Shanghai to meet Adrien.,Marinette se dirige a Shanghai para encontrarse con Adrien.,Disney plus
s175,Movie,Película,Orca vs. Great White,Sigmund Spath Jr.,"Kina Scollay, Ingrid Visser, Ray Robertson",,,2021,TV-14,44 min,"Animals & Nature, Documentary","Animales y Naturaleza, Documental",Researchers investigate if orcas are hunting great whites in New Zealand.,Los investigadores investigan si las orcas cazan tiburones blancos en Nueva Zelanda.,Disney plus
s176,Movie,Película,Rogue Shark?,Mark Woodward,Mocean Melvin,,,2021,TV-14,44 min,"Animals & Nature, Documentary","Animales y Naturaleza, Documental","A vacation hot spot is rocked by a series of shark attacks, chaos reigns.",Un lugar de vacaciones de moda se ve sacudido por una serie de ataques de tiburones y reina el caos.,Disney plus
s177,Movie,Película,Shark Beach with Chris Hemsworth,Sally Aitken,Chris Hemsworth,United States,Estados Unidos,2021,TV-PG,44 min,"Animals & Nature, Documentary","Animales y Naturaleza, Documental",Chris Hemsworth investigates how we can live harmoniously with sharks.,Chris Hemsworth investiga cómo podemos vivir en armonía con los tiburones.,Disney plus
s178,Movie,Película,Shark Gangs,"Jacob Cobi Benattia, Pete Berg, James Buchanan",,,,2021,TV-14,44 min,"Animals & Nature, Documentary","Animales y Naturaleza, Documental",Scientists investigate why some sharks roam the oceans in gangs.,Los científicos investigan por qué algunos tiburones deambulan por los océanos en pandillas.,Disney plus
s179,Movie,Película,The Croc That Ate Jaws,Mark Woodward,Dan Nachtrab,,,2021,TV-14,44 min,"Animals & Nature, Documentary","Animales y Naturaleza, Documental",What happens when two of the deadliest predators go head to head?,¿Qué sucede cuando dos de los depredadores más mortíferos se enfrentan?,Disney plus
s180,TV Show,Programa de televisión,When Sharks Attack,,Eric Meyers,United States,Estados Unidos,2013,TV-14,7 Seasons,Reality,Realidad,National Geographic investigates shark attacks.,National Geographic investiga los ataques de tiburones.,Disney plus
s181,TV Show,Programa de televisión,Breaking Bobby Bones,,Bobby Bones,United States,Estados Unidos,2021,TV-14,1 Season,"Action-Adventure, Docuseries, Reality","Acción-Aventura, Docuseries, Realidad",Bobby Bones travels to meet local heroes who challenge him to conquer their trades.,Bobby Bones viaja para encontrarse con héroes locales que lo desafían a conquistar sus oficios.,Disney plus
s182,TV Show,Programa de televisión,Mickey Mouse Mixed-Up Adventures,,"Bret Iwan, Russi Taylor, Bill Farmer, Daniel Ross, Tress MacNeile",United States,Estados Unidos,2019,TV-Y,1 Season,"Animation, Kids, Sports","Animación, Infantil, Deportes",Hot Dog! Get mixed-up with Mickey and all of his pals!,¡Hot dog! ¡Mézclate con Mickey y todos sus amigos!,Disney plus
s183,TV Show,Programa de televisión,Monsters at Work,,"Billy Crystal, John Goodman, Ben Feldman, Mindy Kaling, Henry Winkler, Lucas Neff",United States,Estados Unidos,2021,TV-G,1 Season,"Animation, Comedy, Family","Animación, Comedia, Familia","""Monsters at Work"" tells the story of Tylor Tuskmon and his dream to become a Jokester.","""Monsters at Work"" cuenta la historia de Tylor Tuskmon y su sueño de convertirse en Joker.",Disney plus
s184,Movie,Película,"The Good, The Bart, and The Loki",David Silverman,"Dan Castellaneta, Nancy Cartwright, Yeardley Smith",,,2021,TV-PG,6 min,"Animation, Comedy, Fantasy","Animación, Comedia, Fantasía","Banished from Asgard once again, Loki takes on the Simpsons and Springfield’s mightiest heroes.","Desterrado de Asgard una vez más, Loki se enfrenta a los Simpson y a los héroes más poderosos de Springfield.",Disney plus
s185,TV Show,Programa de televisión,Disney Raven's Home,,"Raven-Symoné , Issac Brown, Navia Robinson, Jason Maybaum, Sky Katz, Anneliese van der Pol",United States,Estados Unidos,2016,TV-G,4 Seasons,"Comedy, Family, Fantasy","Comedia, Familia, Fantasía",Raven and Chelsea raise their three children together.,Raven y Chelsea crían juntas a sus tres hijos.,Disney plus
s186,Movie,Película,The Sandlot,David Mickey Evans,"Art La Fleur, Tom Guiry, Mike Vitar, Patrick Renna, Chauncey Leopardi, Marty York",United States,Estados Unidos,1993,PG,101 min,"Comedy, Coming of Age, Family","Comedia, Mayoría de edad, Familia",A shy boy moves to a new neighborhood and becomes involved with a ragtag baseball team.,Un niño tímido se muda a un nuevo vecindario y se involucra con un equipo de béisbol heterogéneo.,Disney plus
s187,Movie,Película,The Sandlot 2,David Mickey Evans,"Max Lloyd-Jones, James Willson, Samantha Burton, Brett Kelly, James Earl Jones, Cole Evan Weiss",United States,Estados Unidos,2005,PG,98 min,"Comedy, Sports","Comedia, Deportes","10 years after the events at The Sandlot, a team of boys and girls overcome an all-new challenge.","Diez años después de los acontecimientos en The Sandlot, un equipo de niños y niñas superan un desafío completamente nuevo.",Disney plus
s188,Movie,Película,Adventures in Babysitting,Chris Columbus,"Elisabeth Shue, Maia Brewton, Keith Coogan, Anthony Rapp, Calvin Levels, Vincent Phillip D'Onofrio",United States,Estados Unidos,1987,TV-PG,102 min,"Action-Adventure, Comedy, Coming of Age","Acción y aventuras, Comedia, Mayoría de edad",A seemingly quiet night turns into a wild expedition for a teen babysitter.,Una noche aparentemente tranquila se convierte en una expedición salvaje para una niñera adolescente.,Disney plus
s189,TV Show,Programa de televisión,Running Wild with Bear Grylls,,Bear Grylls,United States,Estados Unidos,2019,TV-PG,2 Seasons,"Action-Adventure, Reality, Survival","Acción-aventura, Realidad, Supervivencia",Survivalist Bear Grylls takes celebrities on wild adventures they won’t forget.,El superviviente Bear Grylls lleva a las celebridades a aventuras salvajes que no olvidarán.,Disney plus
s190,TV Show,Programa de televisión,The Mysterious Benedict Society,,"Tony Hale, Kristen Schaal, Mystic Inscho, Seth Carr, Marta Kessler, Emmy DeOliveira",United States,Estados Unidos,2021,TV-PG,1 Season,"Action-Adventure, Family","Acción-Aventura, Familia",Four gifted orphans are recruited by the eccentric Mr. Benedict to save the world.,El excéntrico Sr. Benedict recluta a cuatro huérfanos talentosos para salvar el mundo.,Disney plus
s191,Movie,Película,Wolfgang,David Gelb,Wolfgang Puck,,,2021,TV-PG,80 min,"Biographical, Documentary","Biográfico, Documental",Wolfgang Puck persevered after a troubled childhood to become the world’s most famous chef.,Wolfgang Puck perseveró después de una infancia problemática hasta convertirse en el chef más famoso del mundo.,Disney plus
s192,TV Show,Programa de televisión,Dino Ranch,,"Tyler Nathan, Jacob Mazeral, Ava Ro, Scott Gorman, Athena Karkanis",Canada,Canadá,2021,TV-Y,1 Season,"Animation, Kids, Western","Animación, Infantil, Western","Join the Cassidy family on their ""prewestoric"" farm!","¡Únete a la familia Cassidy en su granja ""anterior a la historia""!",Disney plus
s193,TV Show,Programa de televisión,Disney Just Roll With It,,"Ramon Reed, Kaylin Hayman, Suzi Barrett, Tobie Windham",United States,Estados Unidos,2018,TV-Y7,2 Seasons,"Comedy, Family","Comedia, Familia",This family's fate rests in the hands of the audience!,¡El destino de esta familia está en manos del público!,Disney plus
s194,TV Show,Programa de televisión,"Heartland Docs, DVM",,"Dr. Erin Schroeder, Dr. Ben Schroeder",United States,Estados Unidos,2019,TV-14,3 Seasons,"Animals & Nature, Docuseries, Family","Animales y Naturaleza, Docuseries, Familia",Heartland vets Ben and Erin Schroeder live and work among farmers in the Midwest.,"Los veteranos de Heartland, Ben y Erin Schroeder, viven y trabajan entre agricultores del Medio Oeste.",Disney plus
s195,Movie,Película,Luca,Enrico Casarosa,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Maya Rudolph, Marco Barricelli, Jim Gaffigan",United States,Estados Unidos,2021,PG,101 min,"Animation, Buddy, Coming of Age","Animación, Amigo, Mayoría de edad","Join Luca, a young sea monster, as he experiences an unforgettable summer on the Italian Riviera.","Únete a Luca, un joven monstruo marino, mientras vive un verano inolvidable en la Riviera italiana.",Disney plus
s196,TV Show,Programa de televisión,Star Wars Vintage: Droids,,"Anthony Daniels, R2-D2, Lesleh Donaldson, Andrew Sabiston, Don Francks, Dan Hennessey",,,1985,TV-Y7-FV,2 Seasons,"Action-Adventure, Animation, Fantasy","Acción-aventura, Animación, Fantasía",Share the early adventures of R2-D2 and C-3PO in this action-packed animated series!,¡Comparte las primeras aventuras de R2-D2 y C-3PO en esta serie animada llena de acción!,Disney plus
s197,TV Show,Programa de televisión,Puppy Dog Pals,,"Harland Williams, Isaac Brown, Jessica DiCicco, Sam Lavagnino, Leslie Baker, Tara Strong","United States, India","Estados Unidos, India",2016,TV-G,4 Seasons,"Animation, Kids","Animación, Infantil",Two puppies are on a mission for fun and adventure!,¡Dos cachorros tienen la misión de divertirse y vivir aventuras!,Disney plus
s198,Movie,Película,Strange Magic,Gary Rydstrom,"Alan Cumming, Evan Rachel Wood, Elijah Kelley, Meredith Anne Bull, Sam Palladio, Kristin Chenoweth","United States, Canada, United Kingdom, Singapore, Australia, Thailand","Estados Unidos, Canadá, Reino Unido, Singapur, Australia, Tailandia",2015,PG,101 min,"Action-Adventure, Animation, Family","Acción-aventura, Animación, Familia",A tough fairy princess crosses paths with the sinister Bog King.,Una dura princesa de hadas se cruza con el siniestro Bog King.,Disney plus
s199,Movie,Película,The Happiest Millionaire,Norman Tokar,"Fred MacMurray, Tommy Steele, Greer Garson, Geraldine Page, Gladys Cooper, Hermione Baddeley",United States,Estados Unidos,1967,G,170 min,"Biographical, Coming of Age, Family","Biográfico, Mayoría de edad, Familia",An immigrant finds a butler position in the home of a millionaire.,Un inmigrante encuentra un puesto de mayordomo en la casa de un millonario.,Disney plus
s200,Movie,Película,The Pacifier,Adam Shankman,"Vin Diesel, Lauren Graham, Faith Ford, Brittany Snow, Max Thieriot, Chris Potter","Canada, United States","Canadá, Estados Unidos",2005,PG,97 min,"Action-Adventure, Comedy, Spy/Espionage","Acción-aventura, Comedia, Espionaje/espionaje",A Navy SEAL gets his toughest mission yet: Babysitting.,Un Navy SEAL recibe su misión más difícil hasta el momento: cuidar niños.,Disney plus
s201,TV Show,Programa de televisión,Zenimation,,,United States,Estados Unidos,2020,TV-G,2 Seasons,"Animation, Anthology, Family","Animación, Antología, Familia","Unplug, relax and refresh your senses with the soundscapes of Disney Animation’s Zenimation.","Desconecta, relájate y refresca tus sentidos con los paisajes sonoros de Zenimation de Disney Animation.",Disney plus
s202,TV Show,Programa de televisión,Loki,,Tom Hiddleston,,,2021,TV-14,1 Season,"Action-Adventure, Fantasy, Science Fiction","Acción-aventura, Fantasía, Ciencia ficción",The mercurial villain Loki (Tom Hiddleston) resumes his role as the God of Mischief.,El voluble villano Loki (Tom Hiddleston) retoma su papel de Dios de la Travesura.,Disney plus
s203,TV Show,Programa de televisión,Gordon Ramsay: Uncharted,,Gordon Ramsay,United States,Estados Unidos,2018,TV-14,3 Seasons,"Action-Adventure, Docuseries, Lifestyle","Acción-Aventura, Docuseries, Estilo de vida",Gordon Ramsay travels the globe on an epic adventure in search of culinary inspiration.,Gordon Ramsay viaja por el mundo en una aventura épica en busca de inspiración culinaria.,Disney plus
s204,TV Show,Programa de televisión,MUPPET BABIES,,"Matt Danner, Melanie Harrison, Ben Diskin, Eric Bauza, Dee Baker, Jessica DiCicco","South Korea, United States, China, Japan","Corea del Sur, Estados Unidos, China, Japón",2017,TV-Y,3 Seasons,"Animation, Kids","Animación, Infantil",The Muppet Babies are here to make dreams come true!,¡Los Bebés Muppet están aquí para hacer realidad los sueños!,Disney plus
s205,Movie,Película,Raya and the Last Dragon,"Don Hall, Carlos López Estrada","Kelly Marie Tran, Awkwafina , Izaac Wang, Gemma Chan, Daniel Dae Kim, Benedict Wong",United States,Estados Unidos,2021,PG,112 min,"Action-Adventure, Animation, Family","Acción-aventura, Animación, Familia","When evil threatens Kumandra, Raya must find the last dragon to save it.","Cuando el mal amenaza a Kumandra, Raya debe encontrar el último dragón para salvarlo.",Disney plus
s206,Movie,Película,Red Tails,Anthony Hemingway,"Terrence Howard, Cuba Gooding Jr., Nate Parker, David Oyelowo, Tristan Wilds, Ne-Yo",United States,Estados Unidos,2012,PG-13,126 min,"Action-Adventure, Drama, Historical","Acción-aventura, Drama, Histórico",Black fighter pilots get the chance to prove themselves during WWII.,Los pilotos de combate negros tienen la oportunidad de demostrar su valía durante la Segunda Guerra Mundial.,Disney plus
s207,Movie,Película,Us Again,Zach A. Parrish,,,,2021,G,7 min,"Animation, Dance, Family","Animación, Danza, Familia",An elderly man and his young-at-heart wife rekindle their passion for life on one magical night.,Un anciano y su joven esposa reavivan su pasión por la vida en una noche mágica.,Disney plus
s208,Movie,Película,American Eid,Aqsa Altaf,"Shanessa Khawaja, Jenna Qureshi, Cash Herrera, Fazeelat Aslam, Maya Bednarek, Iris Starlett Perry",,,2021,G,21 min,Drama,Drama,"Ameena, a homesick Muslim Pakistani immigrant, wakes up on Eid to find out she has to go to school.","Ameena, una inmigrante musulmana paquistaní que añora su hogar, se despierta en Eid y descubre que tiene que ir a la escuela.",Disney plus
s209,TV Show,Programa de televisión,Bluey,,"Dave Mccormack, Melanie Zanetti, Brad Elliot, Hsiao-Ling Tang","Australia, United Kingdom","Australia, Reino Unido",2019,TV-Y,2 Seasons,"Animation, Kids","Animación, Infantil","Bluey is a six year-old Blue Heeler dog, who turns everyday family life into adventures.",Bluey es un perro Blue Heeler de seis años que convierte la vida familiar cotidiana en aventuras.,Disney plus
s210,Movie,Película,Dinner Is Served,Hao Zheng,"Qi Sun, Briana Liu, Ben Wang, Harry Jarvis, Ray Wise, DeJean Brown",,,2021,TV-PG,21 min,"Coming of Age, Drama","Mayoría de edad, Drama",A Chinese student uncovers his true identity when trying out for a leadership role at a U.S. school.,Un estudiante chino descubre su verdadera identidad cuando se postula para un puesto de liderazgo en una escuela estadounidense.,Disney plus
s211,TV Show,Programa de televisión,Disney Sydney To The Max,,"Ruth Righi, Ava Kolker, Jackson Dollinger, Christian Simon, Ian Kesler, Caroline Rhea",United States,Estados Unidos,2018,TV-G,3 Seasons,"Comedy, Coming of Age, Family","Comedia, Mayoría de edad, Familia",Sydney navigates middle school with help from her Dad.,Sydney avanza en la escuela secundaria con la ayuda de su padre.,Disney plus
s212,Movie,Película,Growing Fangs,Ann Marie Pace,"Keyla Monterroso Mejia, Cristela Alonzo, Grace Song, Olivia Sullivent, Gilberto Ortiz, Sean Burgos",,,2021,TV-PG,20 min,"Coming of Age, Fantasy","Mayoría de edad, Fantasía","Val Garcia, a Mexican-American half human/half vampire teenager, struggles to fit in either world.","Val García, una adolescente mexicano-estadounidense mitad humana y mitad vampiro, lucha por encajar en ambos mundos.",Disney plus
s213,TV Show,Programa de televisión,Kingdom of the Polar Bears,,Dennis Compayre,,,2021,TV-PG,1 Season,"Animals & Nature, Docuseries","Animales y Naturaleza, Docuseries",Follow a mother polar bear as she raises two cubs on the Hudson Bay’s receding ice.,Siga a una madre osa polar mientras cría a dos cachorros en el hielo que retrocede en la Bahía de Hudson.,Disney plus
s214,Movie,Película,Let's Be Tigers,Stephanie Abel Horowitz,"Otmara Marrero, Dash McCloud, Greg Worswick, Mike Millan",,,2021,PG,15 min,Drama,Drama,"Grieving for her mother, Avalon finds comfort when she's put in charge of a 4-year-old for a night.","Avalon, de luto por su madre, encuentra consuelo cuando la ponen a cargo de un niño de 4 años por una noche.",Disney plus
s215,Movie,Película,The Last of the Chupacabras,Jessica Mendez Siqeiros,"Melba Martinez ph.D, Cici Lau, Seven True-Divine Purnell, William Knight, Amanda Maddock, Ronald Binion",,,2021,TV-PG,14 min,Fantasy,Fantasía,A lonely Mexican-American woman unknowingly summons a dark and ancient creature.,"Una solitaria mujer mexicano-estadounidense, sin saberlo, invoca a una criatura oscura y antigua.",Disney plus
s216,Movie,Película,The Little Prince(ss),Moxie Peng,"Kalo Moss, Ching Yin Ryan Hu, Evan Lai, Brian Yang, Lynn Chen, Danni Wang",,,2021,PG,19 min,Drama,Drama,"When Chinese kids Gabriel and Rob become friends, Rob's dad questions Gabriel's feminine behavior.","Cuando los niños chinos Gabriel y Rob se hacen amigos, el padre de Rob cuestiona el comportamiento femenino de Gabriel.",Disney plus
s217,TV Show,Programa de televisión,Wicked Tuna,,Mike Rowe,United States,Estados Unidos,2016,TV-14,10 Seasons,"Action-Adventure, Animals & Nature, Docuseries","Acción-Aventura, Animales y Naturaleza, Docuseries",Massachusetts fishermen make their living one catch at a time in pursuit of the bluefin tuna.,Los pescadores de Massachusetts se ganan la vida capturando el atún rojo.,Disney plus
s218,TV Show,Programa de televisión,Big City Greens,,"Chris Houghton, Marieve Herington, Bob Joles, Artemis Pebdani","United States, South Korea","Estados Unidos, Corea del Sur",2017,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy","Acción-aventura, Animación, Comedia",The Green family moves from the country to Big City.,La familia Green se muda del campo a la gran ciudad.,Disney plus
s219,TV Show,Programa de televisión,Fury Files,,Chi McBride,,,2013,TV-Y7,1 Season,"Animation, Superhero","Animación, Superhéroe",Get top-secret access to S.H.I.E.L.D. video dossiers on key Marvel heroes and villains.,Obtén acceso ultrasecreto a S.H.I.E.L.D. Dossiers de vídeo sobre héroes y villanos clave de Marvel.,Disney plus
s220,TV Show,Programa de televisión,Ice Road Rescue,,"David Wartnaby, Bjørn Lægreid, Thord Paulsen",United Kingdom,Reino Unido,2015,TV-14,5 Seasons,"Docuseries, Reality, Survival","Docuseries, Realidad, Supervivencia",Ice Road Rescue follows Norwegian towing teams who rescue trucks and trailers on icy mountain roads.,Ice Road Rescue sigue a los equipos de remolque noruegos que rescatan camiones y remolques en carreteras de montaña heladas.,Disney plus
s221,Movie,Película,Tinker Bell and the Legend of the NeverBeast,Steve Loter,"Ginnifer Goodwin, Mae Whitman, Rosario Dawson, Lucy Liu, Raven-Symoné , Megan Hilty",United States,Estados Unidos,2014,G,79 min,"Action-Adventure, Animation, Fantasy","Acción-aventura, Animación, Fantasía",Tink and her friends risk everything to rescue the mysterious NeverBeast.,Tink y sus amigos arriesgan todo para rescatar a la misteriosa Bestia de Nunca Jamás.,Disney plus
s222,TV Show,Programa de televisión,Schoolhouse Rock!,,"Bob Dorough, Jack Sheldon, Lynn Ahrens, Grady Tate, Blossom Dearie, Essra Mohawk",United States,Estados Unidos,1973,TV-G,6 Seasons,"Animals & Nature, Animation, Kids","Animales y Naturaleza, Animación, Niños","Musical shorts teach kids history, grammar, and math.","Los cortos musicales enseñan a los niños historia, gramática y matemáticas.",Disney plus
s223,TV Show,Programa de televisión,Disney Special Agent Oso: Three Healthy Steps (Shorts),,"Sean Astin, Meghan Strange, Phill Lewis, Amber Hood, Brad Garrett",,,2011,TV-Y,1 Season,"Action-Adventure, Animation, Kids","Acción-aventura, Animación, Infantil",Oso and his friends watch a kid as they demonstrate the steps to performing a healthy activity.,Oso y sus amigos observan a un niño mientras le demuestra los pasos para realizar una actividad saludable.,Disney plus
s224,TV Show,Programa de televisión,Race to the Center of the Earth,,Chris Payne Gilbert,United States,Estados Unidos,2021,TV-14,1 Season,"Action-Adventure, Family, Game Show / Competition","Acción-aventura, Familia, Concurso/Competencia",Race to the Center of the Earth. Four epic courses. One finish line.,Carrera hacia el centro de la Tierra. Cuatro cursos épicos. Una línea de meta.,Disney plus
s225,TV Show,Programa de televisión,Special Agent Oso,,"Sean Astin, Meghan Strange, Gary Anthony Williams, Amber Hood, Cam Clarke, Phill Lewis","United States, United Kingdom, South Korea","Estados Unidos, Reino Unido, Corea del Sur",2009,TV-Y,2 Seasons,"Action-Adventure, Animation, Kids","Acción-aventura, Animación, Infantil",Special Agent Oso is an adorable stuffed bear and an agent-in-training!,¡El agente especial Oso es un adorable osito de peluche y un agente en entrenamiento!,Disney plus
s226,Movie,Película,X-Men: The Last Stand,Brett Ratner,"Hugh Jackman, Halle Berry, Ian McKellen, Famke Janssen, Anna Paquin, Kelsey Grammer","United States, United Kingdom, Canada","Estados Unidos, Reino Unido, Canadá",2006,PG-13,105 min,"Action-Adventure, Family, Science Fiction","Acción-aventura, Familia, Ciencia ficción","When Professor X clashes with Magneto, the battle lines are drawn for the war to end all wars.","Cuando el Profesor X choca con Magneto, se trazan las líneas de batalla para que la guerra acabe con todas las guerras.",Disney plus
s227,TV Show,Programa de televisión,The Incredible Hulk,,"Neal McDonough, John Vernon, Luke Perry, Lou Ferrigno, Genie Francis",United States,Estados Unidos,1996,TV-Y7,2 Seasons,"Action-Adventure, Animation, Kids","Acción-aventura, Animación, Infantil",Scientist Bruce Banner develops a dangerous alter ego – a monster known as the Incredible Hulk.,El científico Bruce Banner desarrolla un alter ego peligroso: un monstruo conocido como el Increíble Hulk.,Disney plus
